titre_poste,entreprise,ville_normalized,region,type_contrat_normalized,modalite_travail,is_remote,is_hybrid,niveau_etudes_normalized,experience_requise,experience_years_min,experience_years_max,langue,secteur_activite,sous_secteur,fonction,soft_skills,tech_stack,tech_count,soft_skills_count,nbr_postes,date_limite,date_annee,job_id,is_agile_driven,has_corp_perks,is_remote_friendly
Project Management Office (PMO),Atos,Casablanca,Casablanca-Settat,CDI,Télétravail,1,0,Bac+5,Confirmé (5 à 10 ans),5,10,Français | Anglais,Gestion projet / Etudes / R&D- Informatique / Electronique- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Management | Recherche de nouveauté,Excel | Vba,2,6,10.0,24/06/2017,2016,846932618F,False,False,False
Stage en coordination mobilité internationale,Atos,Casablanca,Casablanca-Settat,Stage,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français | Anglais,Informatique,RH / Personnel / Formation,RH / Personnel / Formation,Autonomie | Implication | Management | Recherche de nouveauté,,0,4,1.0,24/06/2017,2016,35C4397FD9,False,False,False
Chefs de Projets Techniques .NET,Sqli Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Expert (10 à 20 ans),10,20,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Esprit d'équipe | Gestion de projet | Implication | Leadership | Organisation | Recherche de nouveauté | Rigoureux | Réflexion | Écoute,.NET | SQL Server | Sql | Ssas | Ssis | Ssrs,6,11,6.0,24/06/2017,2016,D3E682961F,False,False,False
Développeur Front End Angular JS en CDI,Welink,Rabat,Rabat-Salé-Kénitra,Freelance,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Angular | Java | Oracle | Sql,4,8,1.0,24/06/2017,2016,3982EE759A,False,False,False
Développeur Front End Angular JS en CDI,Welink,Rabat,Rabat-Salé-Kénitra,Freelance,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Angular | Java | Oracle | Sql,4,8,1.0,25/04/2017,2016,2370F10D20,False,False,False
Concepteur Développeur JEE Spring/Smart GWT(F/H),Sofrecom Maroc,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Java | PL/SQL | Rest | Soap | Spring | Sql,6,7,1.0,24/06/2017,2016,424A2B04A4,False,False,False
Agents Help Desk Anglo-Francophones,Dxc Cdg,Rabat,Rabat-Salé-Kénitra,CDI,Télétravail,1,0,Bac,Débutant (-1 an),1,1,Français | Anglais,Informatique,Informatique / Electronique,Informatique / Electronique,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,,0,6,5.0,23/06/2017,2016,2E85344657,False,True,False
Profils .NET,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac,Junior (1 à 3 ans),1,3,,Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Implication | Recherche de nouveauté | Réflexion,.NET | SQL Server | Sql,3,5,4.0,23/06/2017,2016,96E12F10B1,False,False,False
Ingénieur Concepteur Développeur JEE,Sqli Maroc,Oujda,Oriental,CDI,Télétravail,1,0,Bac+5,Junior (1 à 3 ans),1,3,Anglais,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion,Angular | Git | Java | Jenkins | Mongodb | Mysql | Oracle | Rest | SQL Server | Soap | Spring | Sql,12,6,6.0,23/06/2017,2016,1867709D6D,False,False,False
Développeur Front End Angular JS en freelance,Welink,Rabat,Rabat-Salé-Kénitra,Freelance,Télétravail,1,0,Bac+5,Intermédiaire (3 à 5 ans),3,5,Français,Informatique / Electronique- Internet / Multimédia- Secteur Informatique,,,Ambition | Analyse | Autonomie | Communication | Implication | Recherche de nouveauté | Réflexion | Travail en équipe,Angular | Java | Oracle | Sql,4,8,1.0,24/06/2017,2016,082D0C3050,False,False,False
