videoId,title,published_at,duration_sec,views,likes,comments
SooHwC2S1iI,▶️ [REPLAY]  - La carte de l'IA | Partie 2,2024-10-06 19:13:49+00:00,4670.0,29657,1172,65
mT6NnslbNLM,▶️ [REPLAY] - La carte de l'IA | Partie 1,2024-10-04 18:19:29+00:00,4112.0,53007,2726,192
SgPQe2orwAk,JE SUIS DE RETOUR ! 🚀 (et j'ai une surprise pour vous...),2024-08-22 08:23:28+00:00,193.0,40582,3755,663
Je4TH0wpgQc,Comment Développer une IA capable de créer des personnages de Manga ?,2022-09-20 06:45:00+00:00,57.0,27479,1313,26
n3OksLuPpVI,Comment développer une IA pour détecter une Fraude Bancaire,2022-09-14 07:19:37+00:00,60.0,22834,1241,18
W-LTs0e1bPk,"Deep Fake, Comment ça marche ?",2022-09-06 09:14:38+00:00,57.0,25480,1357,20
Y3Pb_ImVPlE,COMMENT DÉVELOPPER UNE IA CAPABLE DE PEINDRE UN PORTRAIT DE VOUS,2022-09-01 06:59:10+00:00,57.0,25352,1512,12
KUrHHlVWSkQ,Comment prédire l'évolution du Climat grâce à l'intelligence Artificielle,2022-08-11 07:01:30+00:00,60.0,16195,943,25
vnKbVNpgMkc,Comment développer un algorithme de détection de risque cardio-vasculaire ?,2022-08-10 07:00:17+00:00,60.0,15399,900,14
WK3hD9XbMNc,Comment développer une Intelligence Artificielle qui compose de la musique,2022-08-09 07:00:10+00:00,60.0,12879,760,8
fAjH01g2ovc,Comment développer un programme de reconnaissance vocale ?,2022-08-08 07:00:16+00:00,59.0,20806,1355,26
vf0pxcc3foU,Comment développer une Intelligence Artificielle capable de faire du Trading ?,2022-08-06 07:00:30+00:00,56.0,36454,1968,42
2oPA6o0jcBg,Comment développer une Intelligence Artificielle capable de conduire une Voiture Autonome?,2022-08-05 07:00:02+00:00,60.0,22058,1537,16
TuyykyS8qBQ,Comment développer un programme d'Analyse de Sentiments ?,2022-08-04 07:00:10+00:00,60.0,14976,1043,22
GXk6CRb8NYE,Comment développer un algorithme de Reconnaissance Faciale ?,2022-08-03 07:00:04+00:00,58.0,66891,3917,57
V8qWRBeD1tU,Comment développer un Réseau de Neurones avec Python?,2022-08-02 07:00:17+00:00,59.0,24325,2000,36
89Fo1aaqju0,Comment développer votre premier programme d’intelligence artificielle ?,2022-08-01 07:05:01+00:00,60.0,123593,6772,85
4NRLysodIwY,RÉSEAU DE NEURONES PROFOND - DEEP LEARNING 10,2022-04-08 14:00:03+00:00,1619.0,105932,3155,536
LXvSdSKw9dk,PROGRAMMER UN RÉSEAU DE NEURONES à 2 COUCHES - DEEP LEARNING 9,2022-02-25 14:00:09+00:00,1352.0,98548,1851,192
